"","price"
"1",48107.2869940836
"2",47729.0769402462
"3",49765.1734605581
"4",41788.5174016975
"5",48162.49121817
"6",45863.1176766082
"7",49221.3487435461
"8",61728.8199285143
"9",43499.7390956287
"10",53278.7927941496
"11",46774.1235249399
"12",45603.4374368237
"13",46498.8730803325
"14",47156.1224807252
"15",44955.2718558644
"16",51716.4130731684
"17",49621.5710832515
"18",67279.4661553853
"19",67011.8404236117
"20",67108.5517941684
"21",66925.7693888486
"22",44213.2710539354
"23",68274.2222745986
"24",80740.1650109009
"25",81012.0899725855
"26",44304.4611111677
"27",43757.2484926468
"28",41442.0780005812
"29",59911.03464072
"30",57755.256203087
"31",60254.9381811329
"32",49851.855233961
"33",51404.1624662894
"34",48789.1943079757
"35",61309.8133416801
"36",41718.5084656306
"37",46605.6642078438
"38",56249.6646505058
"39",74305.02931984
"40",45439.9988167476
"41",49802.9706031939
"42",45238.8245365911
"43",48907.7889408384
"44",50288.9044467299
"45",50770.7333264856
"46",47079.4266159912
"47",57344.4873791525
"48",65158.3312576994
"49",68188.7175194284
"50",41955.9856264738
"51",65444.1133768863
"52",42248.7882125377
"53",62196.3938843597
"54",75722.0445145261
"55",76011.4862863942
"56",76735.5882844546
"57",45210.1950367581
"58",43058.3296775826
"59",51391.1120908236
"60",43177.5800991286
"61",43278.5225345393
"62",43332.9090524052
"63",41753.2638228698
"64",57074.2836455233
"65",27884.2032577719
"66",57483.5338643522
"67",41496.1471814206
"68",40665.3136485674
"69",40505.9017061719
"70",40467.1276850538
"71",40869.5911636666
"72",20124.9048331482
"73",20184.1952669473
"74",28043.8808444523
"75",27626.8322372832
"76",27007.3115207006
"77",23231.7198197798
"78",44579.8625076608
"79",43644.1663106879
"80",74824.9680043886
"81",61020.2337619128
"82",79080.330735776
"83",85311.403811175
"84",87373.9904759452
"85",59711.5437134572
"86",22966.1776244582
"87",24166.3147524761
"88",24116.2748646118
"89",28282.0813669264
"90",31925.7930973973
"91",28371.4162586675
"92",29328.061961609
"93",24979.4577038215
"94",34882.142979035
"95",8758.85113525717
"96",8855.2239430739
"97",23881.9702982298
"98",48963.0101272357
"99",32078.5672670177
"100",31866.2452041053
"101",37608.6451368435
"102",47362.4737554763
"103",48308.6350060397
"104",73822.0235780703
"105",71113.5498427324
"106",75458.6076378325
"107",82168.9676668958
"108",83920.7260060226
"109",29093.7447294283
"110",42195.09697346
"111",47413.6018068099
"112",33867.9648169784
"113",80384.5315067808
"114",81428.5054882577
"115",79820.5739740698
"116",81093.7287317311
"117",91581.7134997473
"118",91608.1969372422
"119",91259.4791822113
"120",91386.1465892769
"121",91335.5899758721
"122",30001.1591826426
"123",34992.036784269
"124",84510.1297342399
"125",84325.3412140968
"126",84308.6058948266
"127",84780.7234465932
"128",86903.0694595583
"129",86482.0631497361
"130",23896.9803211669
"131",38007.8087176495
"132",54921.9597539817
"133",39852.2310202857
"134",41326.7855987813
"135",42245.4593355211
"136",59771.3932312174
"137",40450.9011821248
"138",47642.2640758649
"139",47367.2258304474
"140",49939.5095550337
"141",51041.6936709652
"142",37545.6240559362
"143",37589.4797588741
"144",32457.0205226327
"145",33160.321332427
"146",44818.7995507443
"147",47025.5727056101
"148",45262.940251666
"149",46676.6768152343
"150",48093.1915908323
"151",42709.3120916975
"152",47741.4252904512
"153",49992.5964119668
"154",28756.8283534027
"155",65179.1601924012
"156",81618.3848100267
"157",85101.6548319692
"158",91411.1266005755
"159",42365.8477337285
"160",43552.1626857955
"161",42788.1533670227
"162",40998.0191510329
"163",46309.661977349
"164",34649.6705392181
"165",35432.4907978775
"166",53688.6760923624
"167",53883.4550286705
"168",48006.0815268868
"169",49548.5770126646
"170",34030.2423907029
"171",41563.7102345378
"172",42169.1465183289
"173",46261.1561845752
"174",31213.283807922
"175",36000.4617253727
"176",38275.6697160326
"177",45819.7013425874
"178",45528.4868974766
"179",40309.9501950129
"180",45317.0264547823
"181",50139.8345529819
"182",52529.3799127331
"183",57013.5640738761
"184",54351.7441049037
"185",56849.632161642
"186",51675.4992670119
"187",54013.0628960699
"188",53574.0464024232
"189",29989.0699714679
"190",32866.3946507235
"191",31393.7644733923
"192",39243.0316233672
"193",36198.4145363517
"194",32667.5727840819
"195",40360.4125605993
"196",29166.7359429073
"197",35842.1814455577
"198",36015.1762805883
"199",49478.4959011279
"200",47958.5051010937
"201",51982.8835493285
"202",54005.0424690876
"203",50847.6399819016
"204",44248.0138843149
"205",51770.7246767512
"206",91943.0117720448
"207",100298.206009186
"208",30899.8163101327
"209",46872.7747289291
"210",28993.5585690869
"211",81922.2897268112
"212",71195.8260071385
"213",76098.0014550568
"214",78010.0886312141
"215",49528.8882963875
"216",55371.8915123951
"217",78075.2543257065
"218",94497.0165352667
"219",61084.717437815
"220",47864.3938079672
"221",49339.9396579915
"222",49376.2581484805
"223",49313.1471085998
"224",49777.515440954
"225",60036.06772456
"226",71323.2290272282
"227",37511.1483445437
"228",47025.3317364379
"229",48082.3496672956
"230",13530.3798169898
"231",41121.1022710823
"232",45715.4444215709
"233",32618.7736963088
"234",33190.833809457
"235",33420.5086461725
"236",41040.7304212255
"237",28224.9130900992
"238",32337.8724992134
"239",35781.4178980791
"240",30130.0225371944
"241",44214.2277450911
"242",41666.0343286
"243",48847.0931456317
"244",46332.8931655942
"245",49244.5341001693
"246",49103.5734771329
"247",32837.2579176947
"248",34094.4059070537
"249",34405.3726886428
"250",31829.7612445045
"251",37057.724345829
"252",39114.6980388272
"253",56302.4838826026
"254",54289.7382975467
"255",26115.2856992546
"256",26737.1429747684
"257",30087.3951994293
"258",36505.0859666229
"259",34754.4328685001
"260",42648.4019821189
"261",51369.7773923064
"262",60969.9722262196
"263",61890.9343204161
"264",89372.219918406
"265",94154.2324176042
"266",91791.554500852
"267",91526.858223828
"268",31539.0319745231
"269",28346.0835655897
"270",16245.4843777916
"271",16097.4501691681
"272",43418.0620188189
"273",49093.3704979161
"274",67467.5818601347
"275",70839.0823985704
"276",77398.4779011694
"277",46952.1303510544
"278",38320.5794460724
"279",36125.1628098705
"280",36298.0939491026
"281",36348.4391177832
"282",33988.4677613852
"283",36687.6311296201
"284",170401.28834546
"285",170972.535330699
"286",25106.4636076295
"287",41667.8225528437
"288",44482.5117287554
"289",34994.6789364382
"290",34417.1235928146
"291",14535.5184634852
"292",126202.598492064
"293",93818.1624429155
"294",37571.200020189
"295",37861.012784316
"296",93140.5820707468
"297",30749.7554919692
"298",31466.14939267
"299",33062.2541185299
"300",183768.07246732
"301",63302.2181287855
"302",95822.9373883413
"303",88927.0712854724
"304",92996.8867812501
"305",21631.1070095721
"306",22837.1561972447
"307",67196.0174885513
"308",74500.2894682384
"309",196461.274262216
"310",12004.3016207319
"311",153208.967674995
"312",151358.305976143
"313",150928.517069321
"314",88678.4512213774
"315",98336.1775938702
"316",93694.6438908791
"317",96458.6942502465
"318",96186.6294338796
"319",94315.9470147484
"320",53377.521024118
"321",12372.540366216
"322",12715.5879766184
"323",12684.2832715249
"324",118389.914292183
"325",105584.740116217
"326",103595.726152845
"327",79014.2948878442
"328",81935.1557165464
"329",81425.5219588969
"330",81415.2994726724
"331",82347.1142518464
"332",153485.907462617
"333",208765.598746626
"334",230000.633298886
"335",119285.846768652
"336",118626.1867724
"337",152336.623857409
"338",163687.806254922
"339",156747.810301147
